"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"TFSC","1347 Capital Corp.","9.7989","58283857.2","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc",
"TFSCR","1347 Capital Corp.","0.39","0","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr",
"TFSCU","1347 Capital Corp.","10.35","43263000","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscu",
"TFSCW","1347 Capital Corp.","0.28","0","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw",
"PIH","1347 Property Insurance Holdings, Inc.","7.5","46989945","n/a","United States","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","8.56","558643721.52","n/a","United States","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","7.89","81438228.78","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","11.54","87090475.9","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","29.73","942476765.19","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"XXII","22nd Century Group, Inc","1.03","72999358.92","n/a","United States","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","34.92","1452409122.24","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","12.72","1424616887.76","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","139.84","87364397994.56","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"SIXD","6D Global Technologies, Inc.","2.59","202661967.76","n/a","United States","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd",
"CAFD","8point3 Energy Partners LP","14.79","1050129622.41","n/a","United States","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","7.78","689293264.68","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","13.88","310072926.24","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","32.26","944901335.84","n/a","United States","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AHC","A.H. Belo Corporation","5.01","108617185.77","n/a","United States","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AAC","AAC Holdings, Inc.","n/a","0","n/a","United States","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"AAON","AAON, Inc.","19.69","1067799312.91","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","23.28","823329954.96","n/a","United States","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","38.02","2759427004.02","n/a","United States","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABAX","ABAXIS, Inc.","47.1","1069970700","n/a","United States","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABT","Abbott Laboratories","43.07","64193313897.55","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","59.77","98935866722.26","n/a","United States","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ABEO","Abeona Therapeutics Inc.","4.76","155607284.56","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
